Name|Category|Country|Region|Update
Sparda-Bank Augsburg eG, Augsburg|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Baden-Württemberg eG, Stuttgart|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Berlin eG, Berlin|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Hamburg eG, Hamburg|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Hannover eG, Hannover|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Hessen eG, Frankfurt am Main|German Sparda|Germany|EU|28/04/2014
Sparda-Bank München eG, München|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Münster eG, Münster|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Nürnberg eG, Nürnberg|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Regensburg eG, Regensburg|German Sparda|Germany|EU|28/04/2014
Sparda-Bank Südwest eG, Mainz|German Sparda|Germany|EU|28/04/2014
Sparda-Bank West eG, Düsseldorf|German Sparda|Germany|EU|28/04/2014
