Name|Location
Banco Popular|Spain
Banco Sabadell|Spain
Bankia|Spain
Bankinter|Spain
Bilbao Bizkaia Kutxa|Spain
Caixa Catalunya|Spain
IberCaja|Spain
La Caixa|Spain
NCG Banco/EVO Banco |Spain
Unicaja|Spain
Banca Carige|Italy
Banca IMI S.p.A/Intesa San paolo|Italy
Banco Popolare|Italy
Banco Popolare di Milano|Italy
Credito Emiliano (Credem)|Italy
Generali Group/Banca Generali|Italy
Mediolanum Group|Italy
Monte dei Paschi di Siena|Italy
Mediobanca|Italy
UBI banca |Italy
Veneto Banca Group|Italy
Arbuthnot Latham & Co.|UK
Bank of China|UK
C Hoare & Co|UK
Close Brothers|UK
ICICI Bank UK PLC|UK
Maybank (Malayan Banking Berhad)|UK
R. Raphael & Sons plc|UK
Korea Exchange Bank|UK
Union Bank UK Plc|UK
Česká spořitelna|Czech
Československá obchodní banka|Czech
Českomoravská záruční a rozvojová banka|Czech
Komerční banka|Czech
eBanka|Czech
Expobank CZ|Czech
Budapest Bank|Hungary
CIB Bank|Hungary
K&H Bank Ltd.|Hungary
OTP Bank|Hungary
MKB Bank Zrt.|Hungary
KDB Bank|Hungary
BKS Bank Hungary|Hungary
Eximbank Ltd.|Hungary
"AB bankas ""FINASTA"""|Lithuania
AB Šiaulių bankas|Lithuania
Citadele Bank|Lithuania
UAB Medicinos bankas|Lithuania
Bank of Valletta plc|Malta
Banif Bank (Malta) plc|Malta
Mediterranean Bank plc|Malta
ČSOB Stavebná sporiteľňa|Slovakia
Poštová banka|Slovakia
Prima banka|Slovakia
Prvá stavebná sporiteľňa|Slovakia
Slovenská záručná a rozvojová banka|Slovakia
BPCE|France
Crédit Mutuel - CIC|France
La Banque Postale|France
Millennium BCP|Portugal
Novo Banco|Portugal
Banco Português de Investimento SA|Portugal
Caixa Geral de Depositos |Portugal
Garanti Bank |Turkey
Türkiye İş Bankası|Turkey
Ziraat Bankası|Turkey
Akbank|Turkey
Argenta|Belgium
AXA Bank Europe|Belgium
Dexia|Belgium
Keytrade Bank|Belgium
Landbouwkredit|Belgium
Credit Europe Bank NV (CEB)|Netherlands
DHB Bank|Netherlands
Friesland bank|Netherlands
KAS Bank|Netherlands
MeesPierson|Netherlands
SNS Bank|Netherlands
F van Lanschot Bankiers NV|Netherlands
Bank Coop|Switzerland
Bank Sarasin & Co|Switzerland
Clariden Leu|Switzerland
EFG Group|Switzerland
Union Bancaire Privee (UBP)|Switzerland
Vontobel Holding AG|Switzerland
WIR Bank|Switzerland
Banque Cantonale Vaudoise|Switzerland
Baseler Kantonalbank|Switzerland
Luzerner Kantonalbank|Switzerland
St Galler Kantonalbank|Switzerland
Berner Kantonalbank|Switzerland
BAWAG PSK|Austria
Hypo Alpe-Adria-Bank|Austria
Hypo Tirol Bank AG|Austria
Hypo Landesbank Vorarlberg|Austria
Kommunalkredit Austria AG|Austria
Oberbank AG|Austria
Oesterreichische Kontrolbank AG|Austria
Schoellerbank|Austria
Sparkasse Schwaz AG|Austria
Steiermarkischebank|Austria
