NAME,CATEGORY,Country
"PSD Bank Berlin-Brandenburg eG, Berlin",German PSD,Germany
"PSD Bank Braunschweig eG, Braunschweig",German PSD,Germany
"PSD Bank Hannover eG, Hannover",German PSD,Germany
"PSD Bank Hessen-Thüringen eG, Eschborn",German PSD,Germany
"PSD Bank Karlsruhe-Neustadt eG, Karlsruhe",German PSD,Germany
"PSD Bank Kiel eG, Kiel",German PSD,Germany
"PSD Bank Koblenz eG, Koblenz",German PSD,Germany
"PSD Bank Köln eG, Köln",German PSD,Germany
"PSD Bank München eG, Augsburg",German PSD,Germany
"PSD Bank Nord eG, Hamburg",German PSD,Germany
"PSD Bank Nürnberg eG, Nürnberg",German PSD,Germany
"PSD Bank Regensburg eG, Regensburg",German PSD,Germany
"PSD Bank RheinNeckarSaar eG, Stuttgart",German PSD,Germany
"PSD Bank Rhein-Ruhr eG, Düsseldorf",German PSD,Germany
"PSD Bank Westfalen-Lippe eG, Münster (Westf.),",German PSD,Germany
