Name of Bank,Country
ActivoBank ,Spain
Banca March,Spain
Banco Atlántico S.A. ,Spain
Banco Bilbao Vizcaya (BBVA),Spain
Banco de España (BDE),Spain
Banco de Sabadell,Spain
Banco de Vitoria S.A.,Spain
Banco Esfinge S.A. ,Spain
Banco Español de Crédito S.A. (Banesto),Spain
Banco Etcheverria ,Spain
Bancofar S.A.,Spain
Banco Gallego,Spain
Banco Guipuzcoano,Spain
Banco Halifax Hispania S.A.,Spain
Banco Inversión,Spain
Banco Pastor S.A.,Spain
Banco Santander Central Hispano,Spain
Banco Urquijo,Spain
Banco Zaragozano,Spain
Bankinter S.A.,Spain
Bankpyme,Spain
Barclays Bank S. A.,Spain
Bilbao Bizkaia Kutxa (BBK),Spain
BSN Banif S. A.,Spain
Citibank,Spain
Commerzbank,Spain
Deutsche Bank,Spain
FIBANC Banco de Finanzas e Inversiones S.A.,Spain
Grupo Banco Popular,Spain
HSBC Bank plc ,Spain
Iberagentes Popular Banca Privada,Spain
ING Direct,Spain
Lloyds TSB Bank plc,Spain
Solbank,Spain
UNO-E Bank S.A.,Spain
Caixa de Catalunya,Spain
Caixa de Manlleu,Spain
Caixa de Pollença,Spain
Caixa de Sabadell,Spain
Caixa d'Estalvis del Penedès,Spain
Caixa d'Estalvis d'Ontinyent,Spain
Caixa de Terrassa,Spain
Caixa Galicia,Spain
Caixa Laietana,Spain
Caixa Mansera,Spain
Caixa Tarragona ,Spain
Caja Cantabria,Spain
Caja de Ahorros Castilla La Mancha,Spain
Caja de Ahorros de Carlet,Spain
Caja de ahorros y San Sebastián (Kutxa),Spain
Caja de Ahorros de la Inmaculada de Aragon,Spain
Caja de Ahorros del Mediterráneo,Spain
Caja de Ahorros de Navarra,Spain
Caja de Ahorros de Salamanca (Caja Duero),Spain
Caja de Ahorros El Monte,Spain
Caja de Arquitectos,Spain
Caja de Avila,Spain
Caixa Rural Vinaròs ,Spain
Caja Campo,Spain
Caja Rural Castellón,Spain
Caja Rural de Almería,Spain
Caja Rural de Aragón,Spain
Caja Rural de Córdoba,Spain
Caja Rural de Granada,Spain
Caja Rural de Huelva,Spain
Caja Rural de Málaga,Spain
Caja Rural de Sevilla,Spain
Caja Rural de Teruel ,Spain
Caja Rural de Extremadura,Spain
Caja Rural Valencia,Spain
Caja Rural de Zaragoza,Spain
Caja Rural Intermediterránea,Spain
Caja Rural Jaén,Spain
Caixa Rural Vinaròs ,Spain
Caja Campo,Spain
Caja Rural Castellón,Spain
Caja Rural de Almería,Spain
Caja Rural de Aragón,Spain
Caja Rural de Córdoba,Spain
Caja Rural de Granada,Spain
Caja Rural de Huelva,Spain
Caja Rural de Málaga,Spain
Caja Rural de Sevilla,Spain
Caja Rural de Teruel ,Spain
Caja Rural de Extremadura,Spain
Caja Rural Valencia,Spain
Caja Rural de Zaragoza,Spain
Caja Rural Intermediterránea,Spain
Caja Rural Jaén,Spain
Caja de Burgos,Spain
Caja de Canarias ,Spain
Caja de Extremadura,Spain
Caja de Guadalajara,Spain
Caja del Círculo de Burgos ,Spain
Caja General de Ahorros de Canarias,Spain
Caja Laboral ,Spain
Caja Madrid,Spain
Caja Murcia,Spain
Caja Provincial de Ahorros de Jaén,Spain
Caja Rioja,Spain
Caja San Fernando,Spain
CajAstur ,Spain
Cajasur,Spain
Caja Vital Kutxa,Spain
Ibercaja,Spain
La Caixa Caja de Ahorros Pensiones Barcelona,Spain
La General (Caja de Granada),Spain
Sa Nostra (Caixa de Balears),Spain
Unicaja,Spain
,
,
,
