Country,country rank,World Rank,Bank,Tier One Capital $m,Assets $m
Saudi Arabia,1,156,National Commercial Bank,"2,759","31,357"
Saudi Arabia,2,181,Samba,"2,340","21,105"
Saudi Arabia,3,189,Riyad Bank,"2,201","19,094"
Saudi Arabia,4,211,Al Rajhi Banking & Investment Corporation,"1,936","17,271"
Saudi Arabia,5,286,Banque Saudi Fransi,"1,349","14,286"
Saudi Arabia,7,337,Arab National Bank,"1,062","13,138"
United Arab Emirates,1,296,Emirates Bank International,"1,280","8,678"
United Arab Emirates,2,316,National Bank of Dubai,"1,175","9,700"
United Arab Emirates,3,324,Abu Dhabi Commercial Bank,"1,135","7,829"
United Arab Emirates,4,328,National Bank of Abu Dhabi,"1,110","11,878"
United Arab Emirates,5,349,Mashreqbank,"1,018","7,144"
Bahrain,6,743,Bank of Bahrain & Kuwait,320,"3,494"
Bahrain,5,690,National Bank of Bahrain,365,"3,291"
Egypt,3,607,Banque Misr,455,"15,604"
Egypt,4,654,Banque du Caire,394,"7,287"
Egypt,7,983,Misr International Bank,180,"2,745"
Kuwait,2,406,Kuwait Finance House,844,"10,319"
Kuwait,3,424,Gulf Bank,787,"8,427"
Kuwait,4,447,Commercial Bank of Kuwait,736,"7,459"
Kuwait,7,561,Bank of Kuwait & the Middle East,512,"5,074"
Kuwait,5,490,Al-Ahli Bank of Kuwait,643,"5,022"
Lebanon,2,568,Blom Bank,507,"8,786"
Lebanon,4,669,Banque Audi ,383,"7,092"
Lebanon,3,616,Byblos Bank,437,"6,016"
Oman,1,688,BankMuscat,366,"4,044"
Oman,3,848,National Bank of Oman,248,"2,123"
Oman,2,812,Oman International Bank,269,"1,692"
Qatar,2,745,Commercial Bank of Qatar,315,"2,413"
Saudi Arabia,9,468,Saudi Hollandi Bank,681,"7,467"
United Arab Emirates,10,857,Bank of Sharjah,243,824
United Arab Emirates,13,972,National Bank of Sharjah,184,727
Bahrain,,,Addax Bank,,
Bahrain,,,Al Baraka Bank,,
Bahrain,,,Al Salam Bank,,
Bahrain,,,Albaraka Islamic Bank,,
Bahrain,,,ALUBAF Arab International Bank,,
Bahrain,,,Arcapita Bank,,
Bahrain,,,Askari Bank,,
Bahrain,,,Bahrain Development Bank B.S.C,,
Bahrain,,,Bahrain Islamic Bank,,
Bahrain,,,Bahrain Mumtalakat Holding Company,,
Bahrain,,,Bahraini Saudi,,
Bahrain,,,Bank Alfalah,,
Bahrain,,,Bank AlKhair (formerly Unicorn Investment Bank),,
Bahrain,,,Ithmaar Bank (Shamil Bank),,
Bahrain,,,Khaleeji Commercial Bank B.S.C.,,
Bahrain,,,National Bank of Kuwait,,
Bahrain,,,Oasis Capital Bank,,
Bahrain,,,State Bank of India,,
Bahrain,,,TAIB Bank B.S.C.,,
Bahrain,,,The Arab Investment Company (TAIC),,
Bahrain,,,The Housing Bank for Trade and Finance,,
Bahrain,,,The International Banking Corporation,,
Bahrain,,,United Bank Limited,,
Bahrain,,,United Gulf Bank,,
Egypt,,,African Export-Import Bank,,
Egypt,,,Arab International Bank,,
Egypt,,,Banque du Caire,,
Egypt,,,Banque Misr,,
Egypt,,,Commercial International Bank,,
Egypt,,,Egyptian Arab Land Bank,,
Egypt,,,Egyptian Gulf Bank,,
Egypt,,,Misr Iran Development Bank,,
Jordan,,,Arab Islamic Bank,,
Jordan,,,Blom Bank,,
Jordan,,,Cairo Amman Bank,,
Jordan,,,Capital Bank of Jordan,,
Jordan,,,Egyptian Arab Land Bank,,
Jordan,,,Export & Finance Bank,,
Jordan,,,Investbank,,
Jordan,,,Islamic International Arab Bank,,
Jordan,,,Jordan Ahli Bank,,
Jordan,,,Jordan Dubai Islamic Bank,,
Jordan,,,Jordan Investment & Finance Bank,,
Jordan,,,Jordan Kuwait Bank,,
Jordan,,,Jordan National Bank,,
Jordan,,,Palestine Commercial Bank,,
Kuwait,,,Boubyan Bank,,
Kuwait,,,Burgan Bank,,
Kuwait,,,Commercial Bank of Kuwait,,
Kuwait,,,Industrial Bank Of Kuwait,,
Kuwait,,,KMEFIC,,
Kuwait,,,Kuwait Finance House,,
Kuwait,,,Kuwait International Bank,,
Kuwait,,,National Bank of Kuwait,,
Kuwait,,,Savings & Credit Bank,,
Kuwait,,,Watheeqa Capital Co.,,
Lebanon,,,Al Baraka Bank,,
Lebanon,,,Bank of Beirut and the Arab Countries (BBAC),,
Lebanon,,,Banque Libano-Francais,,
Lebanon,,,Byblos Bank,,
Lebanon,,,Intercontinental Bank Of Lebanon S.A.L.,,
Lebanon,,,Lebanon & Gulf Bank,,
Lebanon,,,Middle East And Africa Bank,,
Oman,,,Al Nimr Expo,,
Oman,,,Bank Dhofar Saog,,
Oman,,,Bank Muscat,,
Oman,,,National Bank of Oman,,
Oman,,,Oman Arab Bank,,
Oman,,,Oman International Bank,,
Palestine,,,Cairo Amman Bank,,
Qatar,,,Al Khaleej Takaful Group,,
Qatar,,,Arab Jordan Investment Bank,,
Qatar,,,Commercial Bank of Qatar,,
Qatar,,,Doha Bank,,
Qatar,,,International Bank of Qatar,,
Qatar,,,Masraf Al Rayan,,
Qatar,,,Qatar Islamic Bank,,
Qatar,,,Qatar National Bank,,
Saudi Arabia,,,Abdul Latif Jameel Co. Ltd. (UIS),,
Saudi Arabia,,,Al Bank Al Saudi Al Fransi,,
Saudi Arabia,,,Alinma Bank,,
Saudi Arabia,,,Arab National Bank,,
Saudi Arabia,,,Bank Albilad | BAB,,
Saudi Arabia,,,Bank Aljazira,,
Saudi Arabia,,,Banque Saudi Fransi,,
Saudi Arabia,,,Riyad Bank,,
Saudi Arabia,,,Saudi British Bank (Sabb),,
Saudi Arabia,,,Saudi Credit & Savings Bank,,
UAE,,,Abu Dhabi Commercial Bank ADCB,,
UAE,,,Ajman Bank,,
UAE,,,Al Hilal Bank,,
UAE,,,Al Masraf Bank,,
UAE,,,Commercial Bank of Dubai,,
UAE,,,Dubai Islamic Bank,,
UAE,,,Mashreq Bank,,
UAE,,,National Bank of Fujairah,,
UAE,,,National Bank of Umm Al Qaiwain,,
UAE,,,Rakbank (National Bank of Ras Al Khaimah),,
UAE,,,Raqmiyat,,
UAE,,,Sharjah Islamic Bank,,
UAE,,,Abu Dhabi Islamic Bank,,
UAE,,,National Bank of Kuwait,,
,,,,,
