Name|Country|Region|Updated
Banca Akros|Italy|EU|01/05/2015
Banca Aletti|Italy|EU|01/05/2015
Banca Carige|Italy|EU|01/05/2015
Banca Delle Marche|Italy|EU|01/05/2015
Banca di Credito Cooperativo di Cambiano|Italy|EU|01/05/2015
Banca Etruria|Italy|EU|01/05/2015
Banca Fideuram|Italy|EU|01/05/2015
Banca Finnat|Italy|EU|01/05/2015
Banca Generali|Italy|EU|01/05/2015
Banca IFIS|Italy|EU|01/05/2015
Banca Leonardo|Italy|EU|01/05/2015
Banca Mediolanum|Italy|EU|01/05/2015
Banca Popolare Dell'Emilia Romagna|Italy|EU|01/05/2015
Banca Popolare Di Milano|Italy|EU|01/05/2015
Banca Popolare di Sondria|Italy|EU|01/05/2015
Banca Popolare di Vincenza|Italy|EU|01/05/2015
Banca Popolare Sant'Angelo|Italy|EU|01/05/2015
Banca Profilo|Italy|EU|01/05/2015
Banca Promos|Italy|EU|01/05/2015
Banca Sella|Italy|EU|01/05/2015
Banca UBAE|Italy|EU|01/05/2015
Banco Delle tre Venezie|Italy|EU|01/05/2015
Banco di Desio e Della Brianza|Italy|EU|01/05/2015
Banco Popolare del Lazio|Italy|EU|01/05/2015
Banco Posta|Italy|EU|01/05/2015
Banque Internationale Arabe de Tunisie|Italy|EU|01/05/2015
Banque MISR|Italy|EU|01/05/2015
BCC Binasco-Credicoop|Italy|EU|01/05/2015
BCC Cassa Rurale E Atigiana di Cantu|Italy|EU|01/05/2015
Belfius Bank|Italy|EU|01/05/2015
CARIPARMA|Italy|EU|01/05/2015
Cassa di Compensazione e Garanzia|Italy|EU|01/05/2015
Cassa di Risparmio di Asti|Italy|EU|01/05/2015
Cassa di Risparmio di San Miniato|Italy|EU|01/05/2015
Cassa di Risparmio di San Miniato|Italy|EU|01/05/2015
Chianti Banca|Italy|EU|01/05/2015
Credito Emiliano|Italy|EU|01/05/2015
Credito Valtellinese|Italy|EU|01/05/2015
Credito Valtellinese|Italy|EU|01/05/2015
Credito Valtellinese|Italy|EU|01/05/2015
Emirates Lebanon Bank|Italy|EU|01/05/2015
GBM Banca|Italy|EU|01/05/2015
Iccrea Banca|Italy|EU|01/05/2015
Istituto Centrale Delle Banche Popolari|Italy|EU|01/05/2015
Monte Titoli|Italy|EU|01/05/2015
National Bank of Egypt|Italy|EU|01/05/2015
North Africa Commercial Bank|Italy|EU|01/05/2015
Permata Bank|Italy|EU|01/05/2015
Privredka Banka Zagreb|Italy|EU|01/05/2015
UBI Banca|Italy|EU|01/05/2015
Unipol Banca|Italy|EU|01/05/2015
Veneto Banca|Italy|EU|01/05/2015
